"Date","Time","DateTime","LWP","Plant_ID"
"31/10/2024","01:00:00",2024-10-31 01:00:00,-0.22,1
"31/10/2024","01:15:00",2024-10-31 01:15:00,-0.24,1
"31/10/2024","01:30:00",2024-10-31 01:30:00,-0.12,1
"31/10/2024","01:45:00",2024-10-31 01:45:00,-0.13,1
"31/10/2024","02:00:00",2024-10-31 02:00:00,-0.12,1
"31/10/2024","02:15:00",2024-10-31 02:15:00,-0.14,1
"31/10/2024","02:30:00",2024-10-31 02:30:00,-0.11,1
"31/10/2024","02:45:00",2024-10-31 02:45:00,-0.12,1
"31/10/2024","03:00:00",2024-10-31 03:00:00,-0.14,1
"31/10/2024","03:15:00",2024-10-31 03:15:00,-0.13,1
"31/10/2024","03:30:00",2024-10-31 03:30:00,-0.15,1
"31/10/2024","03:45:00",2024-10-31 03:45:00,-0.18,1
"31/10/2024","04:00:00",2024-10-31 04:00:00,-0.16,1
"31/10/2024","04:15:00",2024-10-31 04:15:00,-0.14,1
"31/10/2024","04:30:00",2024-10-31 04:30:00,-0.11,1
"31/10/2024","04:45:00",2024-10-31 04:45:00,-0.13,1
"31/10/2024","05:00:00",2024-10-31 05:00:00,-0.13,1
"31/10/2024","05:15:00",2024-10-31 05:15:00,-0.11,1
"31/10/2024","05:30:00",2024-10-31 05:30:00,-0.12,1
"31/10/2024","05:45:00",2024-10-31 05:45:00,-0.12,1
"31/10/2024","06:00:00",2024-10-31 06:00:00,-0.11,1
"31/10/2024","06:15:00",2024-10-31 06:15:00,-0.1,1
"31/10/2024","06:30:00",2024-10-31 06:30:00,-0.11,1
"31/10/2024","06:45:00",2024-10-31 06:45:00,-0.09,1
"31/10/2024","07:00:00",2024-10-31 07:00:00,-0.1,1
"31/10/2024","07:15:00",2024-10-31 07:15:00,-0.08,1
"31/10/2024","07:30:00",2024-10-31 07:30:00,-0.08,1
"31/10/2024","07:45:00",2024-10-31 07:45:00,-0.07,1
