"Date","Time","Weight","DateTime","Plant_ID"
2024-10-31,"19:47:58",1119.1,2024-10-31 19:47:58,4
2024-10-31,"20:02:58",1117.1,2024-10-31 20:02:58,4
2024-10-31,"20:17:58",1115.1,2024-10-31 20:17:58,4
2024-10-31,"20:32:58",1114.1,2024-10-31 20:32:58,4
2024-10-31,"20:47:58",1112.1,2024-10-31 20:47:58,4
2024-10-31,"21:02:58",1111.1,2024-10-31 21:02:58,4
2024-10-31,"21:17:58",1109,2024-10-31 21:17:58,4
2024-10-31,"21:32:58",1108,2024-10-31 21:32:58,4
2024-10-31,"21:47:58",1107,2024-10-31 21:47:58,4
2024-10-31,"22:02:58",1105,2024-10-31 22:02:58,4
2024-10-31,"22:17:58",1104,2024-10-31 22:17:58,4
2024-10-31,"22:32:58",1103,2024-10-31 22:32:58,4
2024-10-31,"22:47:58",1101,2024-10-31 22:47:58,4
2024-10-31,"23:02:58",1101,2024-10-31 23:02:58,4
2024-10-31,"23:17:58",1101,2024-10-31 23:17:58,4
2024-10-31,"23:32:58",1101,2024-10-31 23:32:58,4
2024-10-31,"23:47:58",1101,2024-10-31 23:47:58,4
2024-11-01,"00:02:58",1101,2024-11-01 00:02:58,4
2024-11-01,"00:17:58",1101,2024-11-01 00:17:58,4
2024-11-01,"00:32:58",1101,2024-11-01 00:32:58,4
2024-11-01,"00:47:58",1101,2024-11-01 00:47:58,4
2024-11-01,"01:02:58",1101,2024-11-01 01:02:58,4
2024-11-01,"01:17:58",1100,2024-11-01 01:17:58,4
2024-11-01,"01:32:58",1100,2024-11-01 01:32:58,4
2024-11-01,"01:47:58",1100,2024-11-01 01:47:58,4
2024-11-01,"02:02:58",1100,2024-11-01 02:02:58,4
2024-11-01,"02:17:58",1100,2024-11-01 02:17:58,4
2024-11-01,"02:32:58",1098.9,2024-11-01 02:32:58,4
2024-11-01,"02:47:58",1098.9,2024-11-01 02:47:58,4
2024-11-01,"03:02:58",1098.9,2024-11-01 03:02:58,4
2024-11-01,"03:17:58",1098.9,2024-11-01 03:17:58,4
2024-11-01,"03:32:58",1098.9,2024-11-01 03:32:58,4
2024-11-01,"03:47:58",1098.9,2024-11-01 03:47:58,4
2024-11-01,"04:02:58",1097.9,2024-11-01 04:02:58,4
2024-11-01,"04:17:58",1097.9,2024-11-01 04:17:58,4
